x,0.4682,0.4681,0.4683,0.473,0.4732,0.4736,0.4737,0.4735,0.4735,0.4735,0.4735,0.4733,0.4734,0.4734,0.4734,0.4731,0.4732,0.4731
y,0.4121,0.4122,0.4124,0.4147,0.4148,0.4151,0.4154,0.4153,0.4152,0.4154,0.4154,0.4153,0.4156,0.4155,0.4155,0.4153,0.4153,0.4154
Wavelength [nm],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)]
663,1.49901E-04,1.50745E-04,1.50129E-04,4.82524E-04,4.85174E-04,4.84271E-04,8.15328E-04,8.18755E-04,8.12287E-04,1.14512E-03,1.14821E-03,1.14500E-03,1.46929E-03,1.47173E-03,1.46961E-03,1.78202E-03,1.78390E-03,1.78465E-03
664,1.47050E-04,1.48291E-04,1.47186E-04,4.75061E-04,4.75951E-04,4.76118E-04,8.02914E-04,8.02193E-04,7.97173E-04,1.12556E-03,1.12761E-03,1.12492E-03,1.44367E-03,1.44400E-03,1.44384E-03,1.74953E-03,1.74764E-03,1.75418E-03
665,1.43926E-04,1.45942E-04,1.44568E-04,4.66438E-04,4.65866E-04,4.67304E-04,7.90263E-04,7.85266E-04,7.81595E-04,1.10612E-03,1.10700E-03,1.10616E-03,1.41877E-03,1.41591E-03,1.41935E-03,1.71889E-03,1.71029E-03,1.72289E-03
666,1.41180E-04,1.43050E-04,1.42076E-04,4.54962E-04,4.56928E-04,4.57773E-04,7.73963E-04,7.68567E-04,7.65752E-04,1.08487E-03,1.08537E-03,1.08681E-03,1.38931E-03,1.38672E-03,1.39142E-03,1.68654E-03,1.67853E-03,1.68452E-03
667,1.38544E-04,1.39730E-04,1.39593E-04,4.43424E-04,4.48418E-04,4.47912E-04,7.56336E-04,7.53166E-04,7.50522E-04,1.06205E-03,1.06378E-03,1.06619E-03,1.35796E-03,1.35754E-03,1.36142E-03,1.65293E-03,1.65023E-03,1.64382E-03
668,1.35310E-04,1.36264E-04,1.36891E-04,4.35432E-04,4.38204E-04,4.37812E-04,7.40791E-04,7.39172E-04,7.35991E-04,1.03791E-03,1.04278E-03,1.04318E-03,1.32872E-03,1.32862E-03,1.33169E-03,1.61823E-03,1.61804E-03,1.60777E-03
669,1.31989E-04,1.32887E-04,1.34010E-04,4.29597E-04,4.27419E-04,4.28174E-04,7.26404E-04,7.25391E-04,7.21449E-04,1.01516E-03,1.02219E-03,1.01960E-03,1.30151E-03,1.30065E-03,1.30387E-03,1.58310E-03,1.58301E-03,1.57782E-03
670,1.29304E-04,1.29665E-04,1.30944E-04,4.22281E-04,4.17723E-04,4.19301E-04,7.10199E-04,7.09603E-04,7.05412E-04,9.95725E-04,1.00051E-03,9.97007E-04,1.27346E-03,1.27307E-03,1.27740E-03,1.54691E-03,1.54782E-03,1.55077E-03
671,1.26914E-04,1.26744E-04,1.27638E-04,4.12549E-04,4.08281E-04,4.10470E-04,6.93558E-04,6.92053E-04,6.89074E-04,9.76965E-04,9.77285E-04,9.75171E-04,1.24527E-03,1.24583E-03,1.24927E-03,1.51156E-03,1.51402E-03,1.52114E-03
672,1.24400E-04,1.24441E-04,1.24324E-04,4.01621E-04,3.98572E-04,4.01514E-04,6.80140E-04,6.75336E-04,6.75488E-04,9.57041E-04,9.54717E-04,9.55033E-04,1.22085E-03,1.22133E-03,1.21916E-03,1.48202E-03,1.48511E-03,1.48694E-03
673,1.21472E-04,1.22032E-04,1.21165E-04,3.91014E-04,3.89669E-04,3.91849E-04,6.66593E-04,6.59858E-04,6.62199E-04,9.34821E-04,9.33527E-04,9.34350E-04,1.19588E-03,1.19721E-03,1.19010E-03,1.45273E-03,1.45595E-03,1.45002E-03
674,1.18236E-04,1.18940E-04,1.18496E-04,3.82729E-04,3.83368E-04,3.81863E-04,6.49785E-04,6.46417E-04,6.46992E-04,9.11776E-04,9.15308E-04,9.12457E-04,1.16723E-03,1.17226E-03,1.16713E-03,1.41916E-03,1.42287E-03,1.41616E-03
675,1.15148E-04,1.15854E-04,1.16161E-04,3.75852E-04,3.77419E-04,3.72958E-04,6.32779E-04,6.33774E-04,6.31165E-04,8.90104E-04,8.97385E-04,8.91415E-04,1.13850E-03,1.14560E-03,1.14489E-03,1.38401E-03,1.38821E-03,1.38653E-03
676,1.12488E-04,1.13453E-04,1.13733E-04,3.68245E-04,3.68666E-04,3.65790E-04,6.18653E-04,6.19755E-04,6.15957E-04,8.70507E-04,8.75741E-04,8.72301E-04,1.11273E-03,1.11602E-03,1.11579E-03,1.35014E-03,1.35416E-03,1.35855E-03
677,1.10004E-04,1.11263E-04,1.11054E-04,3.59180E-04,3.58554E-04,3.58657E-04,6.05633E-04,6.05380E-04,6.01412E-04,8.51849E-04,8.52923E-04,8.53733E-04,1.08792E-03,1.08798E-03,1.08571E-03,1.31981E-03,1.32288E-03,1.32899E-03
678,1.07433E-04,1.08664E-04,1.08149E-04,3.48771E-04,3.49230E-04,3.49813E-04,5.91377E-04,5.91813E-04,5.87297E-04,8.32581E-04,8.32039E-04,8.33967E-04,1.06150E-03,1.06519E-03,1.06143E-03,1.29341E-03,1.29495E-03,1.29548E-03
679,1.05074E-04,1.05758E-04,1.05445E-04,3.38880E-04,3.40392E-04,3.40025E-04,5.76824E-04,5.77118E-04,5.73651E-04,8.11605E-04,8.10983E-04,8.12580E-04,1.03420E-03,1.04190E-03,1.03795E-03,1.26444E-03,1.26477E-03,1.25990E-03
680,1.03434E-04,1.03122E-04,1.03494E-04,3.31952E-04,3.32335E-04,3.31335E-04,5.64572E-04,5.61269E-04,5.61891E-04,7.90905E-04,7.90079E-04,7.92029E-04,1.01030E-03,1.01539E-03,1.01289E-03,1.23143E-03,1.23147E-03,1.22849E-03
681,1.01745E-04,1.00822E-04,1.01390E-04,3.25940E-04,3.24606E-04,3.23085E-04,5.51777E-04,5.45240E-04,5.49696E-04,7.71065E-04,7.70853E-04,7.71851E-04,9.88434E-04,9.86861E-04,9.88171E-04,1.19851E-03,1.19784E-03,1.20064E-03
682,9.92609E-05,9.87063E-05,9.84243E-05,3.18436E-04,3.16839E-04,3.14375E-04,5.36313E-04,5.30146E-04,5.35030E-04,7.52188E-04,7.53791E-04,7.51431E-04,9.66275E-04,9.58348E-04,9.65184E-04,1.16873E-03,1.16638E-03,1.17367E-03
683,9.63133E-05,9.64817E-05,9.55826E-05,3.09436E-04,3.09943E-04,3.05858E-04,5.22589E-04,5.17656E-04,5.20036E-04,7.35039E-04,7.36726E-04,7.32770E-04,9.43806E-04,9.33300E-04,9.42529E-04,1.14022E-03,1.13794E-03,1.14516E-03
684,9.33392E-05,9.38132E-05,9.34851E-05,2.99695E-04,3.03901E-04,2.98039E-04,5.12808E-04,5.07597E-04,5.06251E-04,7.19093E-04,7.17649E-04,7.16592E-04,9.20564E-04,9.12647E-04,9.18403E-04,1.11108E-03,1.11161E-03,1.11400E-03
685,9.07642E-05,9.05649E-05,9.12687E-05,2.91488E-04,2.96510E-04,2.91068E-04,5.01826E-04,4.96134E-04,4.92985E-04,7.01993E-04,6.97923E-04,7.00916E-04,8.96080E-04,8.92533E-04,8.93503E-04,1.08422E-03,1.08538E-03,1.08504E-03
686,8.87677E-05,8.71912E-05,8.84879E-05,2.85760E-04,2.87213E-04,2.84828E-04,4.86962E-04,4.82009E-04,4.80163E-04,6.83093E-04,6.79646E-04,6.84568E-04,8.71034E-04,8.70577E-04,8.69162E-04,1.06075E-03,1.05862E-03,1.06097E-03
687,8.69082E-05,8.52146E-05,8.59789E-05,2.79812E-04,2.79359E-04,2.78457E-04,4.72702E-04,4.70138E-04,4.69214E-04,6.65270E-04,6.64587E-04,6.68277E-04,8.47579E-04,8.48226E-04,8.46282E-04,1.03521E-03,1.03285E-03,1.03675E-03
688,8.48160E-05,8.47188E-05,8.41003E-05,2.72022E-04,2.73953E-04,2.71300E-04,4.61208E-04,4.61924E-04,4.59679E-04,6.49512E-04,6.51619E-04,6.51740E-04,8.26498E-04,8.26465E-04,8.24731E-04,1.00513E-03,1.00809E-03,1.00923E-03
689,8.25773E-05,8.31976E-05,8.22526E-05,2.64100E-04,2.67564E-04,2.63832E-04,4.49878E-04,4.52150E-04,4.48438E-04,6.34044E-04,6.36022E-04,6.33815E-04,8.07542E-04,8.06337E-04,8.04417E-04,9.76869E-04,9.83414E-04,9.82522E-04
690,8.03673E-05,8.00521E-05,8.01354E-05,2.57021E-04,2.59044E-04,2.56767E-04,4.37536E-04,4.39157E-04,4.34777E-04,6.17787E-04,6.17233E-04,6.14837E-04,7.89565E-04,7.87892E-04,7.85497E-04,9.54248E-04,9.58485E-04,9.59123E-04
691,7.83602E-05,7.78032E-05,7.79792E-05,2.49995E-04,2.51098E-04,2.50783E-04,4.25520E-04,4.27177E-04,4.21617E-04,6.00675E-04,6.00843E-04,5.96981E-04,7.69745E-04,7.69142E-04,7.67887E-04,9.35086E-04,9.33357E-04,9.37249E-04
692,7.65619E-05,7.69427E-05,7.59348E-05,2.43270E-04,2.45060E-04,2.45320E-04,4.14923E-04,4.17314E-04,4.10532E-04,5.83252E-04,5.87858E-04,5.81154E-04,7.48210E-04,7.49387E-04,7.50890E-04,9.15294E-04,9.08671E-04,9.15022E-04
693,7.47413E-05,7.51940E-05,7.39687E-05,2.38362E-04,2.40053E-04,2.38309E-04,4.06024E-04,4.06184E-04,4.00869E-04,5.66459E-04,5.72933E-04,5.66260E-04,7.28454E-04,7.29388E-04,7.32817E-04,8.89027E-04,8.85324E-04,8.90607E-04
694,7.27446E-05,7.22054E-05,7.20467E-05,2.34775E-04,2.34603E-04,2.30214E-04,3.97559E-04,3.93754E-04,3.91748E-04,5.51155E-04,5.55070E-04,5.51487E-04,7.10948E-04,7.09371E-04,7.13210E-04,8.58816E-04,8.63252E-04,8.64801E-04
