x,0.4688,0.4687,0.4687,0.4738,0.4738,0.4737,0.4741,0.4742,0.474,0.474,0.4741,0.4741,0.474,0.474,0.474,0.4737,0.4738,0.4738,0.4737,0.4736,0.4735,0.4732,0.4733,0.4733,0.4731,0.4731,0.4731
y,0.4202,0.4202,0.4202,0.4228,0.4229,0.4228,0.4231,0.4233,0.4231,0.4232,0.4232,0.4233,0.4232,0.4233,0.4233,0.4232,0.4232,0.4232,0.4232,0.4231,0.4231,0.423,0.4229,0.423,0.4229,0.4229,0.4229
Wavelength [nm],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)]
550,8.33563E-04,8.36162E-04,8.36919E-04,2.61820E-03,2.62951E-03,2.62175E-03,4.43368E-03,4.42870E-03,4.43867E-03,6.20019E-03,6.21432E-03,6.21990E-03,7.97742E-03,7.97987E-03,7.97289E-03,9.70241E-03,9.69451E-03,9.69790E-03,1.13733E-02,1.13932E-02,1.13944E-02,1.30797E-02,1.30504E-02,1.30660E-02,1.46734E-02,1.47498E-02,1.46760E-02
551,8.39240E-04,8.41574E-04,8.42854E-04,2.63603E-03,2.64604E-03,2.64108E-03,4.46435E-03,4.46055E-03,4.46984E-03,6.23661E-03,6.26203E-03,6.26607E-03,8.03585E-03,8.02718E-03,8.02552E-03,9.77995E-03,9.78057E-03,9.76487E-03,1.14383E-02,1.14771E-02,1.14822E-02,1.31759E-02,1.31345E-02,1.31907E-02,1.47855E-02,1.48628E-02,1.47911E-02
552,8.47658E-04,8.48263E-04,8.48051E-04,2.65743E-03,2.66272E-03,2.66289E-03,4.50182E-03,4.49707E-03,4.50273E-03,6.29871E-03,6.31378E-03,6.31101E-03,8.10374E-03,8.08534E-03,8.08659E-03,9.86348E-03,9.86739E-03,9.84918E-03,1.15466E-02,1.15685E-02,1.15633E-02,1.32598E-02,1.32453E-02,1.33033E-02,1.49112E-02,1.49844E-02,1.49245E-02
553,8.56768E-04,8.56048E-04,8.54592E-04,2.68201E-03,2.68388E-03,2.68792E-03,4.54463E-03,4.53953E-03,4.54055E-03,6.37456E-03,6.36932E-03,6.36008E-03,8.17893E-03,8.15745E-03,8.15947E-03,9.95202E-03,9.95084E-03,9.94085E-03,1.16716E-02,1.16650E-02,1.16573E-02,1.33578E-02,1.33780E-02,1.34117E-02,1.50514E-02,1.51156E-02,1.50669E-02
554,8.64103E-04,8.64186E-04,8.63864E-04,2.70802E-03,2.71161E-03,2.71528E-03,4.58846E-03,4.58627E-03,4.58345E-03,6.44661E-03,6.42549E-03,6.41629E-03,8.25549E-03,8.24015E-03,8.24256E-03,1.00407E-02,1.00251E-02,1.00259E-02,1.17787E-02,1.17597E-02,1.17776E-02,1.34877E-02,1.35179E-02,1.35218E-02,1.52007E-02,1.52483E-02,1.52039E-02
555,8.71002E-04,8.72627E-04,8.73966E-04,2.73572E-03,2.74180E-03,2.74304E-03,4.63360E-03,4.63353E-03,4.62875E-03,6.51177E-03,6.48578E-03,6.48260E-03,8.33781E-03,8.32871E-03,8.33468E-03,1.01354E-02,1.01039E-02,1.01190E-02,1.18809E-02,1.18636E-02,1.19116E-02,1.36391E-02,1.36577E-02,1.36444E-02,1.53665E-02,1.53883E-02,1.53524E-02
556,8.79144E-04,8.80893E-04,8.81709E-04,2.76394E-03,2.76724E-03,2.76748E-03,4.67832E-03,4.67459E-03,4.67025E-03,6.56782E-03,6.55033E-03,6.55659E-03,8.42640E-03,8.41260E-03,8.42817E-03,1.02371E-02,1.01976E-02,1.02332E-02,1.19963E-02,1.19831E-02,1.20319E-02,1.37850E-02,1.37846E-02,1.37802E-02,1.55467E-02,1.55337E-02,1.55247E-02
557,8.88693E-04,8.89274E-04,8.88649E-04,2.79342E-03,2.79196E-03,2.79226E-03,4.72471E-03,4.71748E-03,4.71385E-03,6.62696E-03,6.61891E-03,6.63683E-03,8.51938E-03,8.49624E-03,8.51892E-03,1.03471E-02,1.03097E-02,1.03596E-02,1.21348E-02,1.21233E-02,1.21427E-02,1.39315E-02,1.39156E-02,1.39281E-02,1.57332E-02,1.56917E-02,1.57165E-02
558,8.98393E-04,8.97839E-04,8.98048E-04,2.82387E-03,2.82353E-03,2.82257E-03,4.77341E-03,4.77368E-03,4.76785E-03,6.70306E-03,6.68659E-03,6.71768E-03,8.60787E-03,8.58570E-03,8.59930E-03,1.04591E-02,1.04319E-02,1.04710E-02,1.22922E-02,1.22791E-02,1.22565E-02,1.40913E-02,1.40720E-02,1.40760E-02,1.59046E-02,1.58623E-02,1.59041E-02
559,9.08116E-04,9.07272E-04,9.10090E-04,2.85578E-03,2.86203E-03,2.85844E-03,4.82675E-03,4.83960E-03,4.83157E-03,6.79248E-03,6.75767E-03,6.79743E-03,8.69577E-03,8.68723E-03,8.67774E-03,1.05739E-02,1.05601E-02,1.05740E-02,1.24560E-02,1.24403E-02,1.23877E-02,1.42643E-02,1.42519E-02,1.42279E-02,1.60675E-02,1.60468E-02,1.60851E-02
